time,icao_a,icao_b,callsign_a,callsign_b,horizontal_dist_nm,vertical_dist_ft,severity,lat_midpoint,lon_midpoint,risk_score,closing_speed
1773422210.0,a3917e,a2ce8d,N329TX,N280FW,2.57,600.0,ADVISORY,32.848600000000005,-97.34185,25.33,90.98955960109485
1773422210.0,a45052,a49a5b,N3771L,N396PC,2.7,550.0,ADVISORY,32.48255,-96.8743,22.0,-13.725734777088224
1773422210.0,a45052,a04b96,N3771L,N118TB,2.637,400.0,ADVISORY,32.498599999999996,-96.9041,25.63,-65.45094813810569
1773422210.0,a9af67,a20132,CXK533,N22808,0.858,875.0,ADVISORY,32.67345,-97.10425000000001,33.92,-0.3739177996721419
1773422210.0,aaa7b5,a2b885,N786KD,N2746C,1.267,525.0,WARNING,32.76815,-96.5298,46.83,-28.017581661539886
1773422210.0,aaf70f,a7299c,N8052A,N5602V,1.309,50.0,WARNING,33.104299999999995,-96.07475,58.35,73.23935708011156
1773422210.0,ad081a,a4ea9d,N939LH,N416CA,2.661,250.0,ADVISORY,32.6495,-96.8242,29.17,23.39185609478475
1773422210.0,aa34d0,adb2bd,N757HY,N982BT,1.709,975.0,ADVISORY,33.3883,-97.33815,25.15,52.07498151366123
1773422210.0,a7ea3f,ac9b48,N609SA,N911KE,1.577,500.0,WARNING,33.010949999999994,-96.51214999999999,44.23,-54.06198401022799
1773422210.0,a5bb0b,a12215,N469AA,N172RC,2.983,600.0,ADVISORY,33.23775,-97.42645,18.17,-75.92009350699006
1773422210.0,a4ea9d,a92ac4,N416CA,N690AP,2.432,825.0,ADVISORY,32.6773,-96.85745,19.91,21.851945725365866
1773422210.0,acf261,a9d837,N933SC,N733WU,1.566,525.0,WARNING,32.704,-97.0369,43.84,-25.763956756872027
1773422210.0,a146f1,acf4c7,SWA22,N934CR,0.006,50.0,CRITICAL,32.86455,-96.8652,78.94,-32.00501289082503
1773422210.0,a146f1,adb434,SWA22,N982ST,0.643,100.0,CRITICAL,32.85915,-96.86485,76.39,144.65815063540043
1773422210.0,a146f1,a77b27,SWA22,N581RS,0.005,25.0,CRITICAL,32.8645,-96.86515,80.08,19.00748148949726
1773422210.0,a06bd8,a23b90,N126VA,N243EH,1.032,200.0,WARNING,32.964150000000004,-97.32464999999999,55.68,-7.244995129149901
1773422210.0,a5a106,ac9e2b,N46198,N912AT,0.756,200.0,CRITICAL,32.94085,-97.4263,68.44,-11.88868031940495
1773422210.0,acf4c7,adb434,N934CR,N982ST,0.649,150.0,CRITICAL,32.8592,-96.86485,74.21,111.05573833509432
1773422210.0,acf4c7,a77b27,N934CR,N581RS,0.008,25.0,CRITICAL,32.86455,-96.86515,79.42,-17.02090796381526
1773422210.0,adb434,a77b27,N982ST,N581RS,0.643,125.0,CRITICAL,32.85915,-96.8648,75.22,124.55944771143356
1773422210.0,a9ab87,acdbee,FFT1426,AAL2845,1.164,25.0,WARNING,32.90075,-97.044,58.71,25.644752653216315
1773422210.0,a9ab87,a18403,FFT1426,AAL2050,0.275,75.0,CRITICAL,32.9028,-97.05275,75.75,-78.62138241450354
1773422210.0,acdbee,a18403,AAL2845,AAL2050,0.916,50.0,WARNING,32.899150000000006,-97.04204999999999,59.84,-197.39146219998563
1773422220.0,a3917e,a2ce8d,N329TX,N280FW,2.25,575.0,ADVISORY,32.8458,-97.34365,29.03,90.98955960109485
1773422220.0,a45052,a04b96,N3771L,N118TB,2.284,500.0,ADVISORY,32.49735,-96.90780000000001,27.16,-65.45094813810569
1773422220.0,a9af67,a20132,CXK533,N22808,0.755,775.0,ADVISORY,32.675399999999996,-97.10455,36.95,-0.3739177996721419
1773422220.0,aaa7b5,a2b885,N786KD,N2746C,1.117,525.0,WARNING,32.7669,-96.52995,48.33,-28.017581661539886
1773422220.0,aaf70f,a7299c,N8052A,N5602V,1.007,50.0,WARNING,33.1018,-96.07310000000001,61.37,73.23935708011156
1773422220.0,ad081a,a4ea9d,N939LH,N416CA,2.512,100.0,ADVISORY,32.6547,-96.8259,33.66,23.39185609478475
1773422220.0,a819f5,a9dc3d,N621AA,N734ZY,1.761,300.0,WARNING,33.215149999999994,-97.14145,46.39,-64.90647466670005
1773422220.0,aa34d0,adb2bd,N757HY,N982BT,1.925,950.0,ADVISORY,33.38865,-97.34100000000001,23.49,52.07498151366123
1773422220.0,a7ea3f,ac9b48,N609SA,N911KE,1.718,500.0,WARNING,33.01165,-96.5189,42.82,-54.06198401022799
1773422220.0,a5bb0b,a12215,N469AA,N172RC,2.742,600.0,ADVISORY,33.237899999999996,-97.42224999999999,20.58,-75.92009350699006
1773422220.0,a4ea9d,a92ac4,N416CA,N690AP,1.916,900.0,ADVISORY,32.678,-96.8574,23.57,21.851945725365866
1773422220.0,acf261,a9d837,N933SC,N733WU,1.338,575.0,WARNING,32.7068,-97.0367,45.12,-25.763956756872027
1773422220.0,a146f1,acf4c7,SWA22,N934CR,0.006,50.0,CRITICAL,32.86455,-96.8652,78.94,-32.00501289082503
1773422220.0,a146f1,adb434,SWA22,N982ST,0.643,100.0,CRITICAL,32.85915,-96.86485,76.39,144.65815063540043
1773422220.0,a146f1,a77b27,SWA22,N581RS,0.005,25.0,CRITICAL,32.8645,-96.86515,80.08,19.00748148949726
1773422220.0,a43357,a01129,N37VK,N103PL,2.636,925.0,ADVISORY,32.159800000000004,-97.0716,15.14,-25.31622221500737
1773422220.0,a06bd8,a23b90,N126VA,N243EH,1.032,200.0,WARNING,32.964150000000004,-97.32464999999999,55.68,-7.244995129149901
1773422220.0,a5a106,ac9e2b,N46198,N912AT,0.756,200.0,CRITICAL,32.94085,-97.4263,68.44,-11.88868031940495
1773422220.0,acf4c7,adb434,N934CR,N982ST,0.649,150.0,CRITICAL,32.8592,-96.86485,74.21,111.05573833509432
1773422220.0,acf4c7,a77b27,N934CR,N581RS,0.008,25.0,CRITICAL,32.86455,-96.86515,79.42,-17.02090796381526
1773422220.0,adb434,a77b27,N982ST,N581RS,0.643,125.0,CRITICAL,32.85915,-96.8648,75.22,124.55944771143356
1773422220.0,acdbee,a18403,AAL2845,AAL2050,1.039,350.0,WARNING,32.8926,-97.0421,52.61,-197.39146219998563
1773422256.0,a3917e,a2ce8d,N329TX,N280FW,1.703,550.0,WARNING,32.8404,-97.34715,45.0,90.98955960109485
1773422256.0,a45052,a04b96,N3771L,N118TB,2.042,900.0,ADVISORY,32.48835,-96.9182,21.58,-65.45094813810569
1773422256.0,a9af67,a20132,CXK533,N22808,0.223,350.0,WARNING,32.679050000000004,-97.09970000000001,60.77,-0.3739177996721419
1773422256.0,a9af67,a9d837,CXK533,N733WU,2.638,300.0,ADVISORY,32.683499999999995,-97.0725,27.62,-48.697107918270994
1773422256.0,aaa7b5,a2b885,N786KD,N2746C,0.594,325.0,WARNING,32.76255,-96.5301,57.56,-28.017581661539886
1773422256.0,aaf70f,a7299c,N8052A,N5602V,0.644,150.0,CRITICAL,33.09505,-96.0698,73.0,73.23935708011156
1773422256.0,a2c27e,a146f1,SWA1274,SWA22,2.469,825.0,ADVISORY,32.8793,-96.8822,18.81,-11.289278462107116
1773422256.0,a2c27e,acf4c7,SWA1274,N934CR,2.465,775.0,ADVISORY,32.87935,-96.8822,20.94,32.55885547516313
1773422256.0,a2c27e,adb434,SWA1274,N982ST,2.986,925.0,ADVISORY,32.87395,-96.88185,15.89,127.3658553276961
1773422256.0,a52e50,acdbee,AAL1908,AAL2845,2.477,425.0,ADVISORY,32.91735,-97.0435,30.3,107.23954666529967
1773422256.0,ad081a,a4ea9d,N939LH,N416CA,1.98,25.0,ADVISORY,32.672399999999996,-96.832,40.48,23.39185609478475
1773422256.0,a819f5,a9dc3d,N621AA,N734ZY,2.143,50.0,ADVISORY,33.22965000000001,-97.12895,37.57,-64.90647466670005
1773422256.0,a819f5,a81b3a,N621AA,N621PA,1.757,25.0,WARNING,33.20815,-97.1502,51.93,-24.207760826210592
1773422256.0,a819f5,ab3dc3,N621AA,UAL1350,2.836,650.0,ADVISORY,33.198750000000004,-97.11019999999999,18.64,-231.78996913170914
1773422256.0,aa34d0,adb2bd,N757HY,N982BT,2.926,575.0,ADVISORY,33.38235,-97.33975000000001,20.98,52.07498151366123
1773422256.0,ae52aa,acf261,TANDM29,N933SC,2.753,875.0,ADVISORY,32.72375,-97.00065000000001,14.97,-56.66144154168448
1773422256.0,a20132,a63c08,N22808,N500XL,2.728,750.0,ADVISORY,32.65965,-97.1136,19.69,59.18875732242442
1773422256.0,a20132,a9d837,N22808,N733WU,2.8,50.0,ADVISORY,32.68445,-97.0744,31.0,-22.180029871595043
1773422256.0,a7ea3f,a64310,N609SA,N502TJ,2.721,600.0,ADVISORY,32.9758,-96.56215,23.76,88.96938901027738
1773422256.0,a7ea3f,ac9b48,N609SA,N911KE,2.24,500.0,ADVISORY,33.01405,-96.5437,27.6,-54.06198401022799
1773422256.0,a25ba7,aab5f3,EPI251,N79CW,2.166,425.0,ADVISORY,32.9546,-96.72829999999999,35.23,161.61758978796053
1773422256.0,ab9b9d,acdbee,UAL539,AAL2845,0.608,250.0,CRITICAL,32.893950000000004,-97.03125,68.92,-167.2302369890664
1773422256.0,a5bb0b,a12215,N469AA,N172RC,2.305,675.0,ADVISORY,33.23795,-97.40995000000001,23.45,-75.92009350699006
1773422256.0,a46665,a06bd8,NWX382,N126VA,0.739,125.0,CRITICAL,32.96325,-97.31875,70.11,-97.98975189937414
1773422256.0,a46665,a23b90,NWX382,N243EH,0.604,75.0,CRITICAL,32.9703,-97.3246,72.46,-86.50136124247754
1773422256.0,a4ea9d,a92ac4,N416CA,N690AP,1.069,950.0,ADVISORY,32.68615,-96.85705,31.04,21.851945725365866
